TimeUtc,Frame,ZombieCount,AI_ms,Sensing_ms,Other_ms,TotalMs,GC_kb,CurrentFPS,BaselineFPS,PeakFPS,Top1_Tag,Top1_ms,Top2_Tag,Top2_ms,Top3_Tag,Top3_ms,Top4_Tag,Top4_ms,Top5_Tag,Top5_ms
2026-04-10T21:07:45.8856138Z,10201,4,1390.4451,2.5270,1198.9633,2591.9354,2531556,61.03,82.95,152.12,EntityPlayerLocal.Update,810.7617,EntityAlive.updateTasks,436.3666,EntityAlive.MoveEntityHeaded,386.7527,EntityAlive.Update,319.8479,EAIManager.Update,154.5498
2026-04-10T21:08:15.8893841Z,12367,14,1685.2802,11.9101,1300.4819,2997.6722,2414184,60.79,95.55,152.12,EntityPlayerLocal.Update,923.7186,EntityAlive.updateTasks,540.6457,EntityAlive.MoveEntityHeaded,488.5773,EntityAlive.Update,347.2010,EAIManager.Update,204.2113
2026-04-10T21:08:45.8991428Z,14282,9,2225.3685,27.9837,1457.9965,3711.3487,2443740,60.93,95.55,152.12,EntityPlayerLocal.Update,967.4446,EntityAlive.updateTasks,699.5964,EntityAlive.MoveEntityHeaded,668.2389,EntityAlive.Update,459.2568,EAIManager.Update,266.5272
2026-04-10T21:09:15.9065906Z,16535,6,1651.5557,4.8828,1501.5422,3157.9807,2525776,81.52,95.55,152.12,EntityPlayerLocal.Update,1107.7153,EntityAlive.MoveEntityHeaded,505.2252,EntityAlive.updateTasks,472.8809,EntityAlive.Update,404.0222,Entity.Update,152.5222
2026-04-10T21:09:45.9172845Z,18787,9,1672.9686,26.5439,1356.5668,3056.0793,2568804,84.64,95.55,152.12,EntityPlayerLocal.Update,964.0624,EntityAlive.updateTasks,511.4272,EntityAlive.MoveEntityHeaded,501.3543,EntityAlive.Update,361.3344,EAIManager.Update,187.9757
2026-04-10T21:10:15.9279507Z,20540,31,2753.9488,11.5052,1531.3149,4296.7689,2461112,55.61,95.55,152.12,EntityPlayerLocal.Update,941.0828,EntityAlive.MoveEntityHeaded,921.5152,EntityAlive.updateTasks,847.4335,EntityAlive.Update,576.8518,EntityMoveHelper.UpdateMoveHelper,223.5062
2026-04-10T21:10:45.9507291Z,22038,43,3581.3662,24.7875,1568.9460,5175.0997,2635284,47.92,95.55,152.12,EntityAlive.MoveEntityHeaded,1371.8239,EntityAlive.updateTasks,1043.1285,EntityPlayerLocal.Update,862.1466,EntityAlive.Update,702.7839,Entity.Update,280.2113
2026-04-10T21:11:15.9547292Z,23481,29,1639.5390,12.2327,764.1604,2415.9321,2544976,55.75,95.55,152.12,EntityAlive.updateTasks,571.9096,EntityAlive.MoveEntityHeaded,568.6438,EntityPlayerLocal.Update,418.6960,EntityAlive.Update,309.5850,EntityMoveHelper.UpdateMoveHelper,159.3736
2026-04-10T21:11:45.9784431Z,24897,44,1452.3218,10.2730,593.4733,2056.0681,2474292,46.93,95.55,152.12,EntityAlive.MoveEntityHeaded,555.2090,EntityAlive.updateTasks,457.5435,EntityPlayerLocal.Update,287.6028,EntityAlive.Update,250.4937,EntityMoveHelper.UpdateMoveHelper,134.7267
2026-04-10T21:12:16.0068734Z,26146,32,925.8326,7.2402,392.5523,1325.6251,2642728,47.64,95.55,152.12,EntityAlive.MoveEntityHeaded,371.8390,EntityAlive.updateTasks,281.4518,EntityPlayerLocal.Update,180.0804,EntityAlive.Update,159.9557,EntityMoveHelper.UpdateMoveHelper,110.9159
