TimeUtc,Frame,ZombieCount,AI_ms,Sensing_ms,Other_ms,TotalMs,GC_kb,CurrentFPS,BaselineFPS,PeakFPS,Top1_Tag,Top1_ms,Top2_Tag,Top2_ms,Top3_Tag,Top3_ms,Top4_Tag,Top4_ms,Top5_Tag,Top5_ms
2026-04-11T16:43:31.7291893Z,8564,0,1101.9521,1.8167,995.9635,2099.7323,2377928,93.31,92.41,145.69,EntityPlayerLocal.Update,704.1445,EntityAlive.updateTasks,342.1317,EntityAlive.MoveEntityHeaded,314.3205,EntityAlive.Update,249.2434,EAIManager.Update,122.7646
2026-04-11T16:44:01.7420177Z,10721,21,1245.1109,11.7493,1115.5725,2372.4327,2365048,77.57,92.41,145.69,EntityPlayerLocal.Update,688.2826,EntityAlive.updateTasks,406.6601,EntityAlive.MoveEntityHeaded,316.3282,EntityAlive.Update,293.3813,EAIManager.Update,174.1342
2026-04-11T16:44:31.7563382Z,12506,22,3306.1036,76.3753,1205.8387,4588.3176,2464240,64.18,92.41,145.69,EntityAlive.updateTasks,1250.8255,EntityAlive.MoveEntityHeaded,901.9191,EntityPlayerLocal.Update,598.6528,EAIManager.Update,589.5683,EntityAlive.Update,460.4672
2026-04-11T16:45:01.7763752Z,14389,14,2284.3614,36.5118,1099.6994,3420.5726,2545224,68.10,92.41,145.69,EntityAlive.MoveEntityHeaded,720.5415,EntityAlive.updateTasks,694.7398,EntityPlayerLocal.Update,623.2561,EntityAlive.Update,487.8839,EAIManager.Update,275.1350
2026-04-11T16:45:31.7868810Z,16260,44,2355.6124,21.6905,1102.7216,3480.0245,2376936,49.16,92.41,145.69,EntityAlive.MoveEntityHeaded,753.6231,EntityAlive.updateTasks,684.6462,EntityPlayerLocal.Update,607.3854,EntityAlive.Update,577.3581,EAIManager.Update,224.9709
2026-04-11T16:46:01.8082631Z,17805,47,1031.3182,9.7193,351.0157,1392.0532,2520796,51.40,92.41,145.69,EntityAlive.MoveEntityHeaded,384.8716,EntityAlive.updateTasks,304.2210,EntityAlive.Update,206.7617,EntityPlayerLocal.Update,139.7597,Entity.Update,81.3896
2026-04-11T16:46:31.8151265Z,19450,26,3202.3531,26.8317,1173.5252,4402.7100,2399800,59.62,92.41,145.69,EntityAlive.MoveEntityHeaded,1145.7482,EntityAlive.updateTasks,994.8193,EntityAlive.Update,608.8855,EntityPlayerLocal.Update,536.2818,EAIManager.Update,309.0983
2026-04-11T16:47:01.8523552Z,20888,68,1843.7013,17.2953,499.3521,2360.3487,2527280,38.06,92.41,145.69,EntityAlive.MoveEntityHeaded,776.4571,EntityAlive.updateTasks,538.7383,EntityAlive.Update,325.5011,EntityPlayerLocal.Update,157.3179,EntityMoveHelper.UpdateMoveHelper,133.0409
2026-04-11T16:47:31.8792914Z,21946,75,1676.0926,19.8080,431.4517,2127.3523,2525556,32.94,92.41,145.69,EntityAlive.MoveEntityHeaded,658.8031,EntityAlive.updateTasks,552.2976,EntityAlive.Update,260.7397,EntityMoveHelper.UpdateMoveHelper,163.8333,EAIManager.Update,146.7955
2026-04-11T16:48:01.8834802Z,22878,71,987.0216,9.8198,281.9876,1278.8290,2543064,34.65,92.41,145.69,EntityAlive.MoveEntityHeaded,435.2158,EntityAlive.updateTasks,300.9449,EntityAlive.Update,165.2157,EntityMoveHelper.UpdateMoveHelper,96.6584,EntityPlayerLocal.Update,73.3514
