TimeUtc,Frame,ZombieCount,AI_ms,Sensing_ms,Other_ms,TotalMs,GC_kb,CurrentFPS,BaselineFPS,PeakFPS,Top1_Tag,Top1_ms,Top2_Tag,Top2_ms,Top3_Tag,Top3_ms,Top4_Tag,Top4_ms,Top5_Tag,Top5_ms
2026-04-10T04:20:03.8216423Z,3194,0,0.0000,0.0000,26.3915,26.3915,294628,18.20,60.00,151.70,GUIWindow.Update,26.3915,,,,,,,,
2026-04-10T04:20:33.9581073Z,3923,0,0.0000,0.0000,10.3694,10.3694,1485324,58.32,60.00,151.70,GUIWindow.Update,10.3694,,,,,,,,
2026-04-10T04:21:03.9673480Z,5227,2,435.0693,12.3145,617.3478,1064.7316,2385496,91.18,60.00,151.70,EntityPlayerLocal.Update,499.8334,EntityAlive.updateTasks,141.9557,EntityAlive.MoveEntityHeaded,102.5710,EntityAlive.Update,79.4123,EAIManager.Update,70.2556
2026-04-10T04:21:33.9727174Z,8162,2,565.1076,6.7391,1321.1429,1892.9896,2406388,91.33,85.78,151.70,EntityPlayerLocal.Update,1114.3587,EntityAlive.updateTasks,175.0936,EntityAlive.Update,160.2029,EntityAlive.MoveEntityHeaded,105.0836,EntityPlayer.Update,67.7284
2026-04-10T04:22:03.9803086Z,10790,2,539.0470,4.5940,1182.7170,1726.3580,2377436,82.54,113.73,151.70,EntityPlayerLocal.Update,978.6926,EntityAlive.updateTasks,165.4205,EntityAlive.Update,143.0896,EntityAlive.MoveEntityHeaded,110.3270,EntityPlayer.Update,62.0794
2026-04-10T04:22:33.9903214Z,13027,1,473.2402,2.8138,1372.2805,1848.3345,2440136,91.06,113.73,151.70,EntityPlayerLocal.Update,1041.9755,EntityPlayer.Update,172.5653,EntityAlive.updateTasks,150.0483,EntityAlive.Update,134.5684,EntityAlive.MoveEntityHeaded,105.5973
2026-04-10T04:23:04.0010562Z,15546,1,564.4149,3.9216,1277.4605,1845.7970,2373404,78.58,113.73,151.70,EntityPlayerLocal.Update,1024.5330,EntityAlive.updateTasks,207.3300,EntityAlive.MoveEntityHeaded,141.1809,EntityAlive.Update,139.1603,Entity.Update,62.1041
2026-04-10T04:23:34.0032367Z,17769,1,423.1233,4.3359,1092.9367,1520.3959,2377516,83.60,113.73,151.70,EntityPlayerLocal.Update,899.9864,EntityAlive.updateTasks,124.4773,EntityAlive.Update,106.7376,EntityAlive.MoveEntityHeaded,87.4279,EntityAlive.updateCurrentBlockPosAndValue,61.9990
2026-04-10T04:24:04.0035485Z,19887,2,425.4803,2.6540,1140.1664,1568.3007,2582528,82.90,113.73,151.70,EntityPlayerLocal.Update,937.7656,EntityAlive.updateTasks,135.0429,EntityAlive.Update,128.8602,EntityAlive.MoveEntityHeaded,78.5843,Entity.Update,62.7211
2026-04-10T04:24:34.0102349Z,22259,2,896.1614,4.8307,1280.4397,2181.4318,2563924,81.36,113.73,151.70,EntityPlayerLocal.Update,1003.5814,EntityAlive.updateTasks,362.2082,EntityAlive.MoveEntityHeaded,262.2936,EntityAlive.Update,158.3220,EAIManager.Update,82.3833
